,recv_c_dttm,create_dttm,resolve_dttm,user_resolve_dttm,forced_resolve_dttm,forced_username,recv_r_dttm,region,eid,ne_id,dn,dn_invt,mon_nm,step1,step2,step3,step4,obj,cause,grade,rect_type,rect_type.1,alert_type,alert_id,Y

14878,2021-03-02 17:30:03.890,2021-03-02 08:19:57.000,,,2021-03-04 14:20:57.000,,2021-03-04 14:20:57.000,sj,,1144.0,sj/e/cgni01/c/rack04/09/bm/nov042,sj/e/cgni01/c/rack04/09/bm/nov042,sojgec01nov042,server,ipmi,sel,hp.ipmi.sel.109,,hw-fault,critical,"server critical fault (service information: runtime fault, system board,  aux/main efuse (10h))  ",ipmi_api,status,,2

14879,2021-03-02 17:40:03.798,2021-03-02 08:29:51.000,,,2021-03-04 14:20:57.000,,2021-03-04 14:20:57.000,sj,,1144.0,sj/e/cgni01/c/rack04/09/bm/nov042,sj/e/cgni01/c/rack04/09/bm/nov042,sojgec01nov042,server,ipmi,sel,hp.ipmi.sel.110,,hw-fault,critical,"server critical fault (service information: power on fault, system board,  aux/main efuse (10h))  ",ipmi_api,status,,2

14885,2021-03-03 02:05:02.672,2021-03-02 16:46:42.000,2021-03-02 16:46:42.000,,,,2021-03-03 02:05:02.672,dg,,639.0,dg/e/cgni01/c/rack01/22/bm/nov016,dg/e/cgni01/c/rack01/22/bm/nov016,deguec01nov016,server,ipmi,sel,dell.ipmi.sel.19,,hw-fault,warning,the self-heal operation successfully completed on the memory module.,ipmi_api,status,,0

14903,2021-03-02 17:45:20.841,2021-03-02 17:45:20.841,2021-03-03 03:15:02.924,,,,2021-03-03 03:15:02.924,sj,,1144.0,sj/e/cgni01/c/rack04/09/bm/nov042,sj/e/cgni01/c/rack04/09/bm/nov042,sojgec01nov042,server,ipmi,conn,hp.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

14915,2021-03-03 09:20:04.602,2021-03-03 00:11:36.000,2021-03-03 00:11:36.000,,,,2021-03-03 09:20:04.602,yi,,1619.0,yi/e/cgni01/c/rack01/25/bm/nov017,yi/e/cgni01/c/rack01/25/bm/nov017,yginec01nov017,server,ipmi,sel,hp.ipmi.sel.26,,hw-fault,warning,"hpe ethernet 1gb 4-port 331i adapter - nic connectivity status changed to ok for adapter in slot 0, port 2",ipmi_api,status,,0

14916,2021-03-03 09:20:04.650,2021-03-03 00:11:36.000,2021-03-03 00:11:36.000,,,,2021-03-03 09:20:04.650,yi,,1619.0,yi/e/cgni01/c/rack01/25/bm/nov017,yi/e/cgni01/c/rack01/25/bm/nov017,yginec01nov017,server,ipmi,sel,hp.ipmi.sel.27,,hw-fault,warning,"hpe ethernet 1gb 4-port 331i adapter - nic connectivity status changed to ok for adapter in slot 0, port 3",ipmi_api,status,,0

14917,2021-03-03 09:20:04.687,2021-03-03 00:11:36.000,2021-03-03 00:11:36.000,,,,2021-03-03 09:20:04.687,yi,,1619.0,yi/e/cgni01/c/rack01/25/bm/nov017,yi/e/cgni01/c/rack01/25/bm/nov017,yginec01nov017,server,ipmi,sel,hp.ipmi.sel.28,,hw-fault,warning,"hpe ethernet 1gb 4-port 331i adapter - nic connectivity status changed to ok for adapter in slot 0, port 4",ipmi_api,status,,0

14920,2021-03-03 01:05:20.367,2021-03-03 01:05:20.367,2021-03-03 02:05:02.645,,,,2021-03-03 02:05:02.645,dg,,639.0,dg/e/cgni01/c/rack01/22/bm/nov016,dg/e/cgni01/c/rack01/22/bm/nov016,deguec01nov016,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

15342,2021-03-03 03:15:03.109,2021-03-03 03:10:19.000,2021-03-03 03:10:19.000,,,,2021-03-03 03:15:03.109,sj,,1144.0,sj/e/cgni01/c/rack04/09/bm/nov042,sj/e/cgni01/c/rack04/09/bm/nov042,sojgec01nov042,server,ipmi,sel,hp.ipmi.sel.2,,hw-fault,warning,a new network or storage device has been detected.  this device will not be shown in the legacy bios boot order options in rbsu until the system has booted once.,ipmi_api,status,,0

15378,2021-03-04 01:10:24.633,2021-03-03 16:07:12.000,,,2021-03-04 14:20:57.000,,2021-03-04 14:20:57.000,sj,,1097.0,sj/c/cgni01/c/rack01/18/bm/nova0105,sj/c/cgni01/c/rack01/18/bm/nova0105,sjcc01nova0105,server,ipmi,sel,dell.ipmi.sel.18,,hw-fault,critical,the chassis is open while the power is off.,ipmi_api,status,,1

15379,2021-03-04 01:10:24.544,2021-03-03 16:07:17.000,2021-03-03 16:07:17.000,,,,2021-03-04 01:10:24.544,sj,,1097.0,sj/c/cgni01/c/rack01/18/bm/nova0105,sj/c/cgni01/c/rack01/18/bm/nova0105,sjcc01nova0105,server,ipmi,sel,dell.ipmi.sel.19,,hw-fault,warning,the chassis is closed while the power is off.,ipmi_api,status,,1

15473,2021-03-04 01:10:24.717,2021-03-04 01:03:31.000,,,2021-03-04 14:20:57.000,,2021-03-04 14:20:57.000,sj,,1097.0,sj/c/cgni01/c/rack01/18/bm/nova0105,sj/c/cgni01/c/rack01/18/bm/nova0105,sjcc01nova0105,server,ipmi,sel,dell.ipmi.sel.17,,hw-fault,critical,the chassis is open while the power is off.,ipmi_api,status,,1

15484,2021-03-04 01:05:05.896,2021-03-04 01:05:05.896,2021-03-04 01:10:24.477,,,,2021-03-04 01:10:24.477,sj,,1097.0,sj/c/cgni01/c/rack01/18/bm/nova0105,sj/c/cgni01/c/rack01/18/bm/nova0105,sjcc01nova0105,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16238,2021-03-07 15:20:04.021,2021-03-07 15:20:03.000,2021-03-07 15:20:03.000,,,,2021-03-07 15:20:04.021,sj,,1754.0,sj/c/cgni01/c/rack03/29/bm/nov038,sj/c/cgni01/c/rack03/29/bm/nov038,sojgcc01nov038,server,ipmi,sel,dell.ipmi.sel.7,,hw-fault,warning,the process of installing an operating system or hypervisor is successfully completed.,ipmi_api,status,,0

16254,2021-03-08 00:05:13.747,2021-03-08 00:05:13.747,2021-03-08 17:55:04.399,,2021-03-08 08:45:19.000,,2021-03-08 17:55:04.399,yi,,1628.0,yi/e/cgni01/c/rack02/21/bm/nov026,yi/e/cgni01/c/rack02/21/bm/nov026,yginec01nov026,server,ipmi,conn,hp.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16259,2021-03-12 02:10:04.811,2021-03-08 08:49:09.000,2021-03-08 08:49:09.000,,,,2021-03-12 02:10:04.811,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.2,,hw-fault,warning,1792-slot 0 drive array - valid data found in write-back cache. data will automatically be written to drive array. action: no action required.,ipmi_api,status,,0

16260,2021-03-12 02:10:04.835,2021-03-08 08:49:10.000,,,2021-03-15 13:23:41.000,,2021-03-15 13:23:41.000,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.3,,hw-fault,warning,"system power supply: input power loss or unplugged power cord, verify power supply input (power supply 1)",ipmi_api,status,,0

16261,2021-03-12 02:10:04.858,2021-03-08 08:49:11.000,,,2021-03-15 13:23:41.000,,2021-03-15 13:23:41.000,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.4,,hw-fault,warning,system power supplies not redundant,ipmi_api,status,,0

16262,2021-03-12 02:10:04.882,2021-03-08 08:49:16.000,,,2021-03-15 13:23:41.000,,2021-03-15 13:23:41.000,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.5,,hw-fault,warning,secure boot - all of the keys in the platform have been deleted.,ipmi_api,status,,0

16263,2021-03-12 02:10:04.907,2021-03-08 08:49:17.000,2021-03-08 08:49:17.000,,,,2021-03-12 02:10:04.907,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.6,,hw-fault,warning,secure boot - all of the keys have been reset to defaults.,ipmi_api,status,,0

16264,2021-03-12 02:10:04.933,2021-03-08 08:49:17.000,,,2021-03-15 13:23:41.000,,2021-03-15 13:23:41.000,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.7,,hw-fault,warning,secure boot - secure boot has been disabled.,ipmi_api,status,,1

16265,2021-03-08 08:50:13.881,2021-03-08 08:50:13.881,2021-03-08 17:55:04.399,,2021-03-08 09:40:50.000,,2021-03-08 17:55:04.399,yi,,1628.0,yi/e/cgni01/c/rack02/21/bm/nov026,yi/e/cgni01/c/rack02/21/bm/nov026,yginec01nov026,server,ipmi,conn,hp.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16266,2021-03-12 02:10:04.961,2021-03-08 08:50:56.000,2021-03-08 08:50:56.000,,,,2021-03-12 02:10:04.961,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.8,,hw-fault,warning,"default configuration settings have been restored per user request. if secure boot was enabled, related security settings may have been lost.",ipmi_api,status,,1

16268,2021-03-08 09:45:13.237,2021-03-08 09:45:13.237,2021-03-08 17:55:04.399,,,,2021-03-08 17:55:04.399,yi,,1628.0,yi/e/cgni01/c/rack02/21/bm/nov026,yi/e/cgni01/c/rack02/21/bm/nov026,yginec01nov026,server,ipmi,conn,hp.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16269,2021-03-12 02:10:04.989,2021-03-08 09:52:59.000,2021-03-08 09:52:59.000,,,,2021-03-12 02:10:04.989,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.9,,hw-fault,warning,important: a new storage device has been detected and has been added to the end of the boot controller order.,ipmi_api,status,,0

16270,2021-03-12 02:10:05.033,2021-03-08 09:52:59.000,2021-03-08 09:52:59.000,,,,2021-03-12 02:10:05.033,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.10,,hw-fault,warning,a new network or storage device has been detected.  this device will not be shown in the legacy bios boot order options in rbsu until the system has booted once.,ipmi_api,status,,0

16271,2021-03-12 02:10:05.102,2021-03-08 09:53:09.000,2021-03-08 09:53:09.000,,,,2021-03-12 02:10:05.102,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.11,,hw-fault,warning,1832-slot 0 drive array one or more physical drives are not exposed to the host due to presence of logical unit metadata.action: run a configuration utility to manage these drives.↵,ipmi_api,status,,0

16272,2021-03-12 02:10:05.156,2021-03-08 09:53:10.000,,,2021-03-15 13:23:41.000,,2021-03-15 13:23:41.000,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.12,,hw-fault,warning,"system power supply: input power loss or unplugged power cord, verify power supply input (power supply 1)",ipmi_api,status,,0

16273,2021-03-12 02:10:05.202,2021-03-08 09:53:10.000,,,2021-03-15 13:23:41.000,,2021-03-15 13:23:41.000,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.13,,hw-fault,warning,system power supplies not redundant,ipmi_api,status,,0

16290,2021-03-09 00:05:13.317,2021-03-09 00:05:13.317,2021-03-12 17:10:04.043,,,,2021-03-12 17:10:04.043,yi,,1628.0,yi/e/cgni01/c/rack02/21/bm/nov026,yi/e/cgni01/c/rack02/21/bm/nov026,yginec01nov026,server,ipmi,conn,hp.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16419,2021-03-12 02:10:05.271,2021-03-09 06:28:20.000,,,2021-03-15 13:23:41.000,,2021-03-15 13:23:41.000,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.14,,hw-fault,warning,"system power supply: input power loss or unplugged power cord, verify power supply input (power supply 1)",ipmi_api,status,,0

16420,2021-03-12 02:10:05.328,2021-03-09 06:28:20.000,,,2021-03-15 13:23:41.000,,2021-03-15 13:23:41.000,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.15,,hw-fault,warning,system power supplies not redundant,ipmi_api,status,,0

16421,2021-03-12 02:10:05.385,2021-03-09 06:37:47.000,2021-03-09 06:37:47.000,,,,2021-03-12 02:10:05.385,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.16,,hw-fault,warning,maintenance note: running scripting interface...,ipmi_api,status,,0

16422,2021-03-12 02:10:05.442,2021-03-09 06:37:55.000,2021-03-09 06:37:55.000,,,,2021-03-12 02:10:05.442,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.17,,hw-fault,warning,maintenance note: starting f10 gui,ipmi_api,status,,0

16434,2021-03-10 01:55:04.481,2021-03-09 16:46:24.000,,,,,,gr,,2704.0,gr/e/cgni01/c/rack05/31/bm/nova0509,gr/e/cgni01/c/rack05/31/bm/nova0509,grec01nova0509,server,ipmi,sel,hp.ipmi.sel.18,,hw-fault,critical,"intel(r) ethernet converged network adapter xl710-q2 connectivity status changed to link failure for adapter in slot 1, port 2",ipmi_api,status,,1

16435,2021-03-10 02:10:04.693,2021-03-09 16:59:16.000,2021-03-09 16:59:16.000,,,,2021-03-10 02:10:04.693,gr,,2704.0,gr/e/cgni01/c/rack05/31/bm/nova0509,gr/e/cgni01/c/rack05/31/bm/nova0509,grec01nova0509,server,ipmi,sel,hp.ipmi.sel.19,,hw-fault,warning,"intel(r) ethernet converged network adapter xl710-q2 connectivity status changed to ok for adapter in slot 1, port 2",ipmi_api,status,,0

16477,2021-03-11 02:55:05.087,2021-03-10 17:44:51.000,,,2021-03-15 13:24:16.000,,2021-03-15 13:24:16.000,hh,,851.0,hh/e/cgni01/c/rack08/09/bm/nova0802,hh/e/cgni01/c/rack08/09/bm/nova0802,hhec01nova0802,server,ipmi,sel,hp.ipmi.sel.17,,hw-fault,critical,"intel(r) ethernet converged network adapter xl710-q2 connectivity status changed to link failure for adapter in slot 5, port 1",ipmi_api,status,,1

16478,2021-03-11 03:00:05.377,2021-03-10 17:48:29.000,2021-03-10 17:48:29.000,,,,2021-03-11 03:00:05.377,hh,,851.0,hh/e/cgni01/c/rack08/09/bm/nova0802,hh/e/cgni01/c/rack08/09/bm/nova0802,hhec01nova0802,server,ipmi,sel,hp.ipmi.sel.18,,hw-fault,warning,"intel(r) ethernet converged network adapter xl710-q2 connectivity status changed to ok for adapter in slot 5, port 1",ipmi_api,status,,0

16512,2021-03-12 02:10:05.466,2021-03-11 05:33:11.000,2021-03-11 05:33:11.000,,,,2021-03-12 02:10:05.466,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.18,,hw-fault,warning,important: the removal of a network device has been detected. the device has been removed from the standard boot order (ipl),ipmi_api,status,,0

16513,2021-03-12 02:10:05.495,2021-03-11 05:33:29.000,,,2021-03-15 13:23:41.000,,2021-03-15 13:23:41.000,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.19,,hw-fault,warning,"system power supply: input power loss or unplugged power cord, verify power supply input (power supply 1)",ipmi_api,status,,0

16514,2021-03-12 02:10:05.528,2021-03-11 05:33:29.000,,,2021-03-15 13:23:41.000,,2021-03-15 13:23:41.000,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.20,,hw-fault,warning,system power supplies not redundant,ipmi_api,status,,0

16521,2021-03-12 02:10:05.555,2021-03-11 17:41:49.000,2021-03-11 17:41:49.000,,,,2021-03-12 02:10:05.555,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.21,,hw-fault,warning,important: a new storage device has been detected and has been added to the end of the boot controller order.,ipmi_api,status,,0

16522,2021-03-12 02:10:05.579,2021-03-11 17:41:49.000,2021-03-11 17:41:49.000,,,,2021-03-12 02:10:05.579,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,sel,hp.ipmi.sel.22,,hw-fault,warning,a new network or storage device has been detected.  this device will not be shown in the legacy bios boot order options in rbsu until the system has booted once.,ipmi_api,status,,0

16553,2021-03-12 01:15:06.175,2021-03-12 01:15:06.175,2021-03-12 02:10:04.753,,,,2021-03-12 02:10:04.753,wj,,753.0,wj/e/cgni01/c/rack03/12/bm/nov033,wj/e/cgni01/c/rack03/12/bm/nov033,wnjuec01nov033,server,ipmi,conn,hp.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16587,2021-03-12 01:30:05.408,2021-03-12 01:30:05.408,2021-03-12 04:05:03.464,,,,2021-03-12 04:05:03.464,wj,,3270.0,wj/e/cgni01/c/rack07/03/bm/nov070,wj/e/cgni01/c/rack07/03/bm/nov070,wnjuec01nov070,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16588,2021-03-12 01:30:05.463,2021-03-12 01:30:05.463,2021-03-12 04:00:03.782,,,,2021-03-12 04:00:03.782,wj,,3267.0,wj/e/cgni01/c/rack08/15/bm/nov084,wj/e/cgni01/c/rack08/15/bm/nov084,wnjuec01nov084,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16589,2021-03-12 01:30:05.467,2021-03-12 01:30:05.467,2021-03-12 04:00:04.477,,,,2021-03-12 04:00:04.477,wj,,3264.0,wj/e/cgni01/c/rack08/03/bm/nov080,wj/e/cgni01/c/rack08/03/bm/nov080,wnjuec01nov080,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16590,2021-03-12 01:30:05.471,2021-03-12 01:30:05.471,2021-03-12 04:05:03.215,,,,2021-03-12 04:05:03.215,wj,,3273.0,wj/e/cgni01/c/rack07/15/bm/nov074,wj/e/cgni01/c/rack07/15/bm/nov074,wnjuec01nov074,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16591,2021-03-12 01:30:06.079,2021-03-12 01:30:06.079,2021-03-12 04:05:04.003,,,,2021-03-12 04:05:04.003,wj,,3274.0,wj/e/cgni01/c/rack07/09/bm/nov072,wj/e/cgni01/c/rack07/09/bm/nov072,wnjuec01nov072,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16592,2021-03-12 01:30:06.083,2021-03-12 01:30:06.083,2021-03-12 04:05:03.979,,,,2021-03-12 04:05:03.979,wj,,3276.0,wj/e/cgni01/c/rack07/21/bm/nov076,wj/e/cgni01/c/rack07/21/bm/nov076,wnjuec01nov076,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16593,2021-03-12 01:30:06.139,2021-03-12 01:30:06.139,2021-03-12 04:00:04.895,,,,2021-03-12 04:00:04.895,wj,,3262.0,wj/e/cgni01/c/rack08/09/bm/nov082,wj/e/cgni01/c/rack08/09/bm/nov082,wnjuec01nov082,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

16594,2021-03-12 01:30:06.190,2021-03-12 01:30:06.190,2021-03-12 04:00:04.460,,,,2021-03-12 04:00:04.460,wj,,3269.0,wj/e/cgni01/c/rack08/21/bm/nov086,wj/e/cgni01/c/rack08/21/bm/nov086,wnjuec01nov086,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17579,2021-03-12 04:05:03.697,2021-03-12 04:05:03.000,2021-03-12 04:05:03.000,,,,2021-03-12 04:05:03.697,sj,,1754.0,sj/c/cgni01/c/rack03/29/bm/nov038,sj/c/cgni01/c/rack03/29/bm/nov038,sojgcc01nov038,server,ipmi,sel,dell.ipmi.sel.7,,hw-fault,warning,the process of installing an operating system or hypervisor is successfully completed.,ipmi_api,status,,0

17593,2021-03-12 04:15:05.243,2021-03-12 04:15:05.243,2021-03-12 04:20:03.199,,,,2021-03-12 04:20:03.199,wj,,3273.0,wj/e/cgni01/c/rack07/15/bm/nov074,wj/e/cgni01/c/rack07/15/bm/nov074,wnjuec01nov074,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17594,2021-03-12 04:15:05.300,2021-03-12 04:15:05.300,2021-03-12 04:20:03.607,,,,2021-03-12 04:20:03.607,wj,,3270.0,wj/e/cgni01/c/rack07/03/bm/nov070,wj/e/cgni01/c/rack07/03/bm/nov070,wnjuec01nov070,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17595,2021-03-12 04:15:05.304,2021-03-12 04:15:05.304,2021-03-12 04:20:03.360,,,,2021-03-12 04:20:03.360,wj,,3264.0,wj/e/cgni01/c/rack08/03/bm/nov080,wj/e/cgni01/c/rack08/03/bm/nov080,wnjuec01nov080,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17596,2021-03-12 04:15:05.307,2021-03-12 04:15:05.307,2021-03-12 04:20:03.293,,,,2021-03-12 04:20:03.293,wj,,3267.0,wj/e/cgni01/c/rack08/15/bm/nov084,wj/e/cgni01/c/rack08/15/bm/nov084,wnjuec01nov084,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17597,2021-03-12 04:15:05.923,2021-03-12 04:15:05.923,2021-03-12 04:20:03.838,,,,2021-03-12 04:20:03.838,wj,,3274.0,wj/e/cgni01/c/rack07/09/bm/nov072,wj/e/cgni01/c/rack07/09/bm/nov072,wnjuec01nov072,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17598,2021-03-12 04:15:05.959,2021-03-12 04:15:05.959,2021-03-12 04:20:04.312,,,,2021-03-12 04:20:04.312,wj,,3276.0,wj/e/cgni01/c/rack07/21/bm/nov076,wj/e/cgni01/c/rack07/21/bm/nov076,wnjuec01nov076,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17599,2021-03-12 04:15:06.036,2021-03-12 04:15:06.036,2021-03-12 04:20:05.130,,,,2021-03-12 04:20:05.130,wj,,3262.0,wj/e/cgni01/c/rack08/09/bm/nov082,wj/e/cgni01/c/rack08/09/bm/nov082,wnjuec01nov082,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17600,2021-03-12 04:15:06.055,2021-03-12 04:15:06.055,2021-03-12 04:20:03.852,,,,2021-03-12 04:20:03.852,wj,,3269.0,wj/e/cgni01/c/rack08/21/bm/nov086,wj/e/cgni01/c/rack08/21/bm/nov086,wnjuec01nov086,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17630,2021-03-12 04:25:05.699,2021-03-12 04:25:05.699,2021-03-12 04:30:03.289,,,,2021-03-12 04:30:03.289,wj,,3275.0,wj/e/cgni01/c/rack07/06/bm/nov071,wj/e/cgni01/c/rack07/06/bm/nov071,wnjuec01nov071,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17631,2021-03-12 04:25:05.719,2021-03-12 04:25:05.719,2021-03-12 04:30:03.321,,,,2021-03-12 04:30:03.321,wj,,3277.0,wj/e/cgni01/c/rack07/18/bm/nov075,wj/e/cgni01/c/rack07/18/bm/nov075,wnjuec01nov075,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17632,2021-03-12 04:25:05.723,2021-03-12 04:25:05.723,2021-03-12 04:30:03.395,,,,2021-03-12 04:30:03.395,wj,,3265.0,wj/e/cgni01/c/rack08/06/bm/nov081,wj/e/cgni01/c/rack08/06/bm/nov081,wnjuec01nov081,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17633,2021-03-12 04:25:05.779,2021-03-12 04:25:05.779,2021-03-12 04:30:03.347,,,,2021-03-12 04:30:03.347,wj,,3268.0,wj/e/cgni01/c/rack08/18/bm/nov085,wj/e/cgni01/c/rack08/18/bm/nov085,wnjuec01nov085,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17634,2021-03-12 04:25:06.534,2021-03-12 04:25:06.534,2021-03-12 04:30:03.857,,,,2021-03-12 04:30:03.857,wj,,3272.0,wj/e/cgni01/c/rack07/12/bm/nov073,wj/e/cgni01/c/rack07/12/bm/nov073,wnjuec01nov073,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17635,2021-03-12 04:25:06.537,2021-03-12 04:25:06.537,2021-03-12 04:30:03.931,,,,2021-03-12 04:30:03.931,wj,,3271.0,wj/e/cgni01/c/rack07/25/bm/nov077,wj/e/cgni01/c/rack07/25/bm/nov077,wnjuec01nov077,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17636,2021-03-12 04:25:06.583,2021-03-12 04:25:06.583,2021-03-12 04:30:04.424,,,,2021-03-12 04:30:04.424,wj,,3263.0,wj/e/cgni01/c/rack08/12/bm/nov083,wj/e/cgni01/c/rack08/12/bm/nov083,wnjuec01nov083,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17637,2021-03-12 04:25:06.587,2021-03-12 04:25:06.587,2021-03-12 04:30:04.653,,,,2021-03-12 04:30:04.653,wj,,3266.0,wj/e/cgni01/c/rack08/25/bm/nov087,wj/e/cgni01/c/rack08/25/bm/nov087,wnjuec01nov087,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

17714,2021-03-12 04:45:05.699,2021-03-12 04:45:05.699,2021-03-12 04:50:03.572,,,,2021-03-12 04:50:03.572,wj,,3275.0,wj/e/cgni01/c/rack07/06/bm/nov071,wj/e/cgni01/c/rack07/06/bm/nov071,wnjuec01nov071,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

