,recv_c_dttm,create_dttm,resolve_dttm,user_resolve_dttm,forced_resolve_dttm,forced_username,recv_r_dttm,region,eid,ne_id,dn,dn_invt,mon_nm,step1,step2,step3,step4,obj,cause,grade,rect_type,rect_type.1,alert_type,alert_id,Y
2018,2021-01-21 03:30:03.747,2021-01-20 18:26:25.000,2021-01-20 18:26:25.000,,,,2021-01-21 03:30:03.747,sb,,1010.0,sb/e/cgni01/c/rack04/21/bm/nov046,sb/e/cgni01/c/rack04/21/bm/nov046,sebsec01nov046,server,ipmi,sel,dell.ipmi.sel.32,,hw-fault,warning,the chassis is closed while the power is off.,ipmi_api,status,,1

2051,2021-01-21 01:10:05.020,2021-01-21 01:10:05.020,2021-01-21 01:25:03.074,,,,2021-01-21 01:25:03.074,sb,,1005.0,sb/e/cgni01/c/rack04/06/bm/nov041,sb/e/cgni01/c/rack04/06/bm/nov041,sebsec01nov041,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

2065,2021-01-21 01:30:03.025,2021-01-21 01:27:42.000,2021-01-21 01:27:42.000,,,,2021-01-21 01:30:03.025,sb,,1005.0,sb/e/cgni01/c/rack04/06/bm/nov041,sb/e/cgni01/c/rack04/06/bm/nov041,sebsec01nov041,server,ipmi,sel,dell.ipmi.sel.12,,hw-fault,warning,the input power for power supply 2 has been restored.,ipmi_api,status,,0

2089,2021-01-21 01:45:05.535,2021-01-21 01:45:05.535,2021-01-21 02:00:03.459,,,,2021-01-21 02:00:03.459,sb,,1008.0,sb/e/cgni01/c/rack04/15/bm/nov044,sb/e/cgni01/c/rack04/15/bm/nov044,sebsec01nov044,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

2128,2021-01-21 02:25:05.808,2021-01-21 02:25:05.808,2021-01-21 02:40:03.068,,,,2021-01-21 02:40:03.068,sb,,1006.0,sb/e/cgni01/c/rack04/09/bm/nov042,sb/e/cgni01/c/rack04/09/bm/nov042,sebsec01nov042,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

2199,2021-01-21 03:10:05.114,2021-01-21 03:10:05.114,2021-01-21 03:30:03.606,,,,2021-01-21 03:30:03.606,sb,,1010.0,sb/e/cgni01/c/rack04/21/bm/nov046,sb/e/cgni01/c/rack04/21/bm/nov046,sebsec01nov046,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

2249,2021-01-21 03:35:05.950,2021-01-21 03:35:05.950,2021-01-21 03:40:03.361,,,,2021-01-21 03:40:03.361,sb,,1760.0,sb/e/cgni01/c/rack10/13/bm/nov103,sb/e/cgni01/c/rack10/13/bm/nov103,sebsec01nov103,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

2329,2021-01-22 02:00:04.759,2021-01-21 16:57:39.000,2021-01-21 16:57:39.000,,,,2021-01-22 02:00:04.759,dj,,1530.0,dj/c/cgni02/c/rack06/03/bm/nov060,dj/c/cgni02/c/rack06/03/bm/nov060,dejncc02nov060,server,ipmi,sel,hp.ipmi.sel.144,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 1, port 1",ipmi_api,status,,0

2330,2021-01-22 02:00:04.792,2021-01-21 16:57:39.000,2021-01-21 16:57:39.000,,,,2021-01-22 02:00:04.792,dj,,1530.0,dj/c/cgni02/c/rack06/03/bm/nov060,dj/c/cgni02/c/rack06/03/bm/nov060,dejncc02nov060,server,ipmi,sel,hp.ipmi.sel.145,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 1, port 2",ipmi_api,status,,0

